CATEGORIA	NOMBRE_LIBRO	UM	VU_LIBRO	MATCH_IDU	UM_IDU	VU_IDU	RATIO	PUNTAJE	BANDERA
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (2,5-3,5)m	ML	1362183.29743955					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (3,5-4,5)m	ML	2270313.40753351					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (4,5-5,5)m	ML	2723378.64584782					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (5,5-6,5)m	ML	3176443.88416212					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (6,5-7,5)m	ML	3629509.12247642					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (7,5-8,5)m	ML	4082574.36079072					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (8,5-9,5)m	ML	4535639.59910502					0.33	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 20" Hex (9,5-10,5)m	ML	4988704.83741933					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (0-1,5)m	ML	980242.400317368					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (1,5-2,5)m	ML	1221434.94385619					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (2,5-3,5)m	ML	1576399.76449307					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (3,5-4,5)m	ML	2507013.50750981					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (4,5-5,5)m	ML	2982562.37874688					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (5,5-6,5)m	ML	3458111.24998396					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (6,5-7,5)m	ML	3933660.12122103					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (7,5-8,5)m	ML	4409208.99245811					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (8,5-9,5)m	ML	4884757.86369518					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 24" Hex (9,5-10,5)m	ML	5360306.73493226					0.4	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 27" Hex (0-1,5)m	ML	1108846.49257531					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 27" Hex (1,5-2,5)m	ML	1345630.87234202					0.36	sin referencia
SUMINISTRO E INSTALACIÓN RED DE ALCANTARILLADO PVC	Tubería NOVAFORT 27" Hex (2,5-3,5)m	ML	1708309.49948137					0.36	sin referencia
