TOTAL POR EJECUTAR al empezar = 0

1) precios duplicados eliminados: 722
   f518 (dup de f6)  0  M2 UM
   f519 (dup de f483)  0  73290.3087847969 UM
   f520 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f522 (dup de f6)  0  M2 UM
   f523 (dup de f491)  0  27799.7722976816 UM
   f524 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f526 (dup de f6)  0  M2 UM
   f527 (dup de f483)  0  73290.3087847969 UM
   f528 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f530 (dup de f6)  0  M2 UM
   f531 (dup de f491)  0  27799.7722976816 UM
   f532 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f534 (dup de f6)  0  M2 UM
   f535 (dup de f483)  0  73290.3087847969 UM
   f536 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f538 (dup de f6)  0  M2 UM
   f539 (dup de f491)  0  27799.7722976816 UM
   f540 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f542 (dup de f6)  0  M2 UM
   f543 (dup de f483)  0  73290.3087847969 UM
   f544 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f546 (dup de f6)  0  M2 UM
   f547 (dup de f491)  0  27799.7722976816 UM
   f548 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f550 (dup de f6)  0  M2 UM
   f551 (dup de f483)  0  73290.3087847969 UM
   f552 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f554 (dup de f6)  0  M2 UM
   f555 (dup de f491)  0  27799.7722976816 UM
   f556 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f558 (dup de f6)  0  M2 UM
   f559 (dup de f483)  0  73290.3087847969 UM
   f560 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f562 (dup de f6)  0  M2 UM
   f563 (dup de f491)  0  27799.7722976816 UM
   f564 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f566 (dup de f6)  0  M2 UM
   f567 (dup de f483)  0  73290.3087847969 UM
   f568 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f570 (dup de f6)  0  M2 UM
   f571 (dup de f491)  0  27799.7722976816 UM
   f572 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f574 (dup de f6)  0  M2 UM
   f575 (dup de f483)  0  73290.3087847969 UM
   f576 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f578 (dup de f6)  0  M2 UM
   f579 (dup de f491)  0  27799.7722976816 UM
   f580 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f582 (dup de f6)  0  M2 UM
   f583 (dup de f483)  0  73290.3087847969 UM
   f584 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f586 (dup de f6)  0  M2 UM
   f587 (dup de f491)  0  27799.7722976816 UM
   f588 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f590 (dup de f6)  0  M2 UM
   f591 (dup de f483)  0  73290.3087847969 UM
   f592 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f594 (dup de f6)  0  M2 UM
   f595 (dup de f491)  0  27799.7722976816 UM
   f596 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f598 (dup de f6)  0  M2 UM
   f599 (dup de f483)  0  73290.3087847969 UM
   f600 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f602 (dup de f6)  0  M2 UM
   f603 (dup de f491)  0  27799.7722976816 UM
   f604 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f606 (dup de f6)  0  M2 UM
   f607 (dup de f483)  0  73290.3087847969 UM
   f608 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f610 (dup de f6)  0  M2 UM
   f611 (dup de f491)  0  27799.7722976816 UM
   f612 (dup de f416)  0  SUMINISTRO Y APLICACIÓN DE PINTURA VIAL UM
   f614 (dup de f6)  0  M2 UM
   f615 (dup de f483)  0  73290.3087847969 UM
