NOMBRE_LIBRO	VU_LIBRO	MATCH_IDU	TIPO	UM_IDU	VU_IDU	RATIO	BANDERA
"Suministro tubería en concreto CCR Ø24"""	3030000.0	"TUBERIA CONCRETO D=24"" CL. I REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	817846.0	3.70	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería PVC flexible Ø6"""	340000.0	"TUBERIA PVC SANITARIA D=6"" TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	93174.0	3.65	REVISAR: MUY POR ENCIMA de IDU
"Reducción concéntrica Ø4"" × Ø3"""	1005940.0	"REDUCCIÓN CONCENTRICA HD EL 4"" X 3"". SUMINISTRO E INSTALACIÓN."	APU	UN	282870.0	3.56	REVISAR: MUY POR ENCIMA de IDU
Adecuación y conexión a pozo existente	2120000.0	"CONEXIÓN GEODRÉN VIAL 100MMX1.00M A POZO EXISTENTE (INC. EXCAVACION MANUAL, TRANSPORTE Y DISPOSICIÓN FINAL, RELLENOS EN BASE GRANULAR CLASE B,SUMINISTRO E INSTALACION TUBERIA SANITARIA PVC D=4"" Y ACCESORIOS PVC SANITARIA."	APU	UN	603955.0	3.51	REVISAR: MUY POR ENCIMA de IDU
"Reducción concéntrica Ø4"" × Ø2"""	822560.0	"REDUCCION CONCENTRICA HD 4"" X 2"" (SUMINISTRO E INSTALACIÓN)."	APU	UN	234394.0	3.51	REVISAR: MUY POR ENCIMA de IDU
Retiro de señales verticales	188821.101833122	REUBICACIÓN DE SEÑALES VERTICALES (APLICA PARA RETIRO Y REINSTALACIÓN DE SEÑALES SENCILLAS Y DÚPLEX. INCLUYE DEMOLICIÓN DE PISO, RETIRO Y DISPOSICIÓN FINAL DE ESCOMBROS)	APU	UN	54009.0	3.50	REVISAR: MUY POR ENCIMA de IDU
"Tapón Ø6"""	850120.0	"TAPON PVC TIPO U.M. D=6"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	243337.0	3.49	REVISAR: MUY POR ENCIMA de IDU
Suministro y construcción de contenedor de raíces Tipo B (1,50x2,20)m	3358192.71163712	CONTENEDOR DE RAICES TIPO B20 (TIPO A) (1.2X1.2X1.40M. INC. SUMINISTRO, CONSTRUCCIÓN Y FILTRO EN GRAVILLA. NO INC. TIERRA)	APU	UN	974631.0	3.45	REVISAR: MUY POR ENCIMA de IDU
"Válvula 2"""	1501208.7730039	"VÁLVULA CHEQUE O ANTIRETORNO DE 2"" CLASE 300 (Incluye suministro e instalación)."	APU	UN	441945.0	3.40	REVISAR: MUY POR ENCIMA de IDU
"Tubería PVC 3"" RDE 21"	202256.203749483	"TUBERIA PVC D=3"" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)"	APU	ML	59868.0	3.38	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería en concreto CCR Ø30"""	4960000.0	"TUBERIA CONCRETO D=30"" CL. IV REFORZADO (INCLUYE SUMINISTRO E INSTALACIÓN)"	APU	ML	1478460.0	3.35	REVISAR: MUY POR ENCIMA de IDU
Línea de ceda el paso (0,2m x 0,2m) - Pintura acrílica	27799.7722976816	DEMARCACION LINEA CEDA EL PASO DISCONTINUA DE 0.8MT ESPACIADO 0.4MT E=2.3MM EN PINTURA TERMOPLASTICA, INCLUYE SUMINISTRO Y APLICACION CON EQUIPO, INCLUYE MICROESFERAS.	APU	ML	8629.0	3.22	REVISAR: MUY POR ENCIMA de IDU
"Reducción concéntrica Ø8"" × Ø6"""	2476160.0	"REDUCCIÓN CONCENTRICA HD EL 8"" X 6"". SUMINISTRO E INSTALACIÓN."	APU	UN	803555.0	3.08	REVISAR: MUY POR ENCIMA de IDU
"Unión Ø12"""	3180000.0	"UNION GIBAULT D=12"" (SUMINISTRO E INSTALACIÓN)"	APU	UN	1041325.0	3.05	REVISAR: MUY POR ENCIMA de IDU
"Tubería PVC 4"" RDE 21"	228892.70616258	"TUBERIA PVC D=4"" TIPO U.M. RDE 21 (SUMINISTRO E INSTALACIÓN)"	APU	ML	76083.0	3.01	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de subbase granular SBG-A	223251.402045504	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.87	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de sello en subbase granular SBG-A	223251.402045504	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.87	REVISAR: MUY POR ENCIMA de IDU
"Reducción concéntrica Ø6"" × Ø4"""	1598480.0	"REDUCCION CONCENTRICA HD 6"" X 4"" (SUMINISTRO E INSTALACIÓN)."	APU	UN	560019.0	2.85	REVISAR: MUY POR ENCIMA de IDU
Demolición de pozo existente	848000.854594823	DEMOLICIÓN MANUAL DE TAPA EXISTENTE DE POZO DE INSPECCIÓN Y REPOSICIÓN TAPA PARA POZO DE D= 0.70 M. SUMINISTRO E INSTALACIÓN.	APU	UN	298919.0	2.84	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de subbase granular SBG-B	217337.457620457	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.80	REVISAR: MUY POR ENCIMA de IDU
Suministro e instalación de sello en subbase granular SBG-B	217337.457620457	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.80	REVISAR: MUY POR ENCIMA de IDU
Subabase granular SBG-B	217337.0	CONSTRUCCION DE CAMINO CON SUBBASE GRANULAR TIPO C SBG-C E=0.30MT	APU	M2	77671.0	2.80	REVISAR: MUY POR ENCIMA de IDU
"Suministro tubería PVC flexible Ø8"""	448151.710771605	TUBERIA PVC SANITARIA D=8`` TIPO U.S. (INCLUYE SUMINISTRO E INSTALACIÓN).	APU	ML	160366.0	2.79	REVISAR: MUY POR ENCIMA de IDU
