actividades de nivel 5 leidas: 1456

== A) MISMO NOMBRE (normalizado) CON TEXTO O PRECIO DISTINTO ==
clave	variantes	precios	filas
base granular bg	Base granular BG | base granular BG	251774,33	100,283,302,320,436,455
comision topografica	Comision topografica | COMISION TOPOGRAFICA	12000000	1171,1237
planos record	Planos record | PLANOS RECORD	20000000	1218,1305
subtotal A: 3

== B) FAMILIAS PARECIDAS (mismas 2 primeras palabras) CON PRECIOS DISTINTOS ==
familia	actividad	UM	VU	veces
flecha frente	Flecha de frente - Pintura de dos componentes metil metacrilato	M2	73290.31	1
flecha frente	Flecha de frente o a la derecha - Pintura de dos componentes metil metacrilato	M2	73290.31	1
flecha frente	Flecha de frente o a la izquierda - Pintura de dos componentes metil metacrilato	M2	73290.31	1
flecha frente	Flecha de frente para ciclocarril - Pintura acrílica	M2	27799.77	1
flecha frente	Flecha de frente, a la derecha o a la izquierda - Pintura de dos componentes metil metacrilato	M2	73290.31	1
geotextil tejido	Geotextil tejido 2100	M2	7523.8	21
geotextil tejido	Geotextil tejido 2400	M2	11840.49	13
geotextil tejido	Geotextil tejido 1600	M2	17000	2
imprevistos subetapa	IMPREVISTOS SUBETAPA 1	%	12700139793.85	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 2	%	3665203923.61	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 3	%	1733118405.57	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 3A	%	195447152.15	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 3B	%	2410679445.07	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4	%	801751985.66	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4A	%	410984926.96	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4B	%	1387833434.34	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4C	%	195223463.77	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4D	%	115374134.61	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4E	%	10913390535.84	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 4F	%	528064742.65	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5	%	351491589	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5A	%	1427427914.61	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5B	%	266776874.69	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5C	%	301431583.46	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5D	%	512579428.99	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5E	%	1099229718.15	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5F	%	330894660.52	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 5G	%	1056202179.71	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 6	%	1691950009.99	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 7	%	4088359645.87	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8	%	4146250347.13	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8A	%	1909929188.63	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8B	%	1426172944.99	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8C	%	1308643446.73	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 8D	%	343041214.91	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9	%	694632480.57	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9A	%	1120996984.53	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9B	%	1038040215.43	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9C	%	904201859.64	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9D	%	1177106284.75	1
imprevistos subetapa	IMPREVISTOS SUBETAPA 9E	%	0	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (GENERAL)	GL	163278318.86	1
indexacion ejecutar	INDEXACION POR EJECUTAR AÑO 2023 (ETAPA 01)	GL	24314513.03	1
