NOMBRE	X	Y	ATTS
A Tapon	83623.638	95013.189	NODO=484;DIAMETRO=12;
A Tapon	83698.287	95195.425	NODO=472;DIAMETRO=4;
A Buje	83627.29	95408.273	NODO=455;DIAM=4x3;
A Tapon	83635.431	95412.736	NODO=456;DIAMETRO=3;
CODO90	83565.462	95534.156	NODO=444;DIAM=12;
A Codo11.25	83563.951	95538.258	NODO=442;DIAMETRO=12;
A Tapon	83620.475	95542.124	NODO=440;DIAMETRO=8;
A Tapon	83609.88	95537.074	NODO=436;DIAMETRO=3;
A Tapon	83464.848	95534.607	NODO=428;DIAMETRO=2;
A Tapon	83375.037	95532.762	NODO=423;DIAMETRO=2;
A Tapon	83163.254	95528.532	NODO=412;DIAMETRO=2;
A Tapon	82980.152	95525.309	NODO=405;DIAMETRO=2;
A Tapon	82802.093	95211.773	NODO=398;DIAMETRO=6;
A Codo22.5	82916.948	95382.419	NODO=393;DIAMETRO=12;
CODO90	82925.004	95388.486	NODO=391;DIAM=8;
A Codo22.5	82918.541	95393.936	NODO=390;DIAMETRO=8;
A Tapon	82784.492	95223.292	NODO=379;DIAMETRO=6;
A Buje	82893.465	95387.95	NODO=371;DIAM=12x6;
A Tapon	82893.097	95422.029	NODO=369;DIAMETRO=3;
Union	83520.648	95793.607	NODO=75A;DIAM=12 EMPATE LINEA;
Union	83523.686	95800.008	NODO=79;DIAM=12 EMPATE LINEA;
A Tapon	83503.307	95735.08	NODO=74;DIAMETRO=12;
A Tee	83589.131	95711.959	NODO=68;DIAM=6x4;
A Tee	83497.061	95721.046	NODO=67;DIAM=12x6;
A Tapon	83594.825	95711.393	NODO=71;DIAMETRO=8;
CODO90	83499.653	95739.312	NODO=72;DIAM=12;
A Tee	83503.966	95738.471	NODO=73;DIAM=12x12;
A Codo11.25	83495.567	95710.522	NODO=66;DIAMETRO=12;
Union	83312.66	95953.484	NODO=183;DIAM=4 EMPATE EN LINEA;
A Buje	83311.946	95952.873	NODO=182;DIAM=8x4;
A Buje	83089.017	95999.495	NODO=193;DIAM=10x8;
A Codo22.5	83036.047	95991.468	NODO=317;DIAMETRO=6;
A Codo22.5	83033.152	95991.107	NODO=316;DIAMETRO=6;
A Codo22.5	82950.001	96012.981	NODO=312;DIAMETRO=6;
A Codo22.5	82930.75	96011.268	NODO=311;DIAMETRO=6;
A Codo22.5	82923.593	96007.539	NODO=307;DIAMETRO=6;
A Buje	82651.222	95700.155	NODO=280;DIAM=12x8;
A Tapon	82729.277	95677.501	NODO=266;DIAMETRO=3;
