CLASE	NOMBRE_O_TEXTO	X	Y	ROT	CAPA
INSERT	A Tee	82892.915	95641.888	1.2014	0
INSERT	VALVULA PROY	82872.79	95652.431	0.9109	ACUEDPROYECTO
INSERT	A Codo11.25	82701.12	95723.437	4.9816	0
INSERT	A Codo11.25	82827.688	95656.337	2.6	0
INSERT	A Tee	82836.456	95648.721	0.8556	0
INSERT	A Codo22.5	82711.735	95707.859	5.9617	0
INSERT	A Codo11.25	82706.974	95711.986	5.5759	0
INSERT	codo 45	82699.318	95748.123	1.6627	REDMENOR_ACUEDPROY
INSERT	A Codo11.25	82764.025	95691.77	2.8925	0
INSERT	A Codo22.5	82702.638	95717.69	5.3623	0
INSERT	A Tee	82694.875	95751.836	4.0168	0
INSERT	A Tee	82863.182	95662.248	4.0552	0
INSERT	A Codo11.25	82802.561	95672.45	2.6929	0
INSERT	A Codo11.25	82780.955	95684.373	2.7961	0
INSERT	A Buje	83611.68	95541.999	0.0139	0
INSERT	A Buje	83537.69	95585.966	0.0212	0
INSERT	A Tapon	82283.87	95268.132	0.7953	0
INSERT	CODO90	82929.186	95517.455	3.1416	REDMENOR_ACUEDPROY
INSERT	CODO90	82929.176	95538.182	4.7225	REDMENOR_ACUEDPROY
INSERT	A Codo22.5	82909.422	95540.509	5.4978	0
INSERT	codo 45	82910.56	95538.071	0	0
INSERT	A Codo11.25	82900.861	95561.129	4.8281	0
INSERT	codo 45	82923.389	95574.412	0.0225	0
INSERT	codo 45	82918.696	95579.153	3.1421	0
INSERT	CODO90	82929.835	95566.052	3.1649	REDMENOR_ACUEDPROY
INSERT	A Tee	82929.635	95574.636	3.1571	0
INSERT	A Tee	83616.721	95861.246	4.5946	0
INSERT	VALVULA PROY	83147.344	95956.687	1.8681	ACUEDPROYECTO
INSERT	VALVULA PROY	83585.351	96034.871	1.5708	ACUEDPROYECTO
INSERT	VALVULA PROY	83552.275	95870.675	1.049	ACUEDPROYECTO
INSERT	VALVULA PROY	83312.252	95947.059	0.6812	ACUEDPROYECTO
INSERT	VALVULA PROY	82918.483	96007.098	0.8433	ACUEDPROYECTO
INSERT	VALVULA PROY	82654.175	95692.687	0.8433	ACUEDPROYECTO
INSERT	VALVULA PROY	82921.395	95376.3	0.8734	0
INSERT	VALVULA PROY	83233.715	95328.652	1.6654	0
INSERT	VALVULA PROY	83247.076	95350.551	2.4476	0
INSERT	VALVULA PROY	83490.177	95144.066	2.4476	0
INSERT	VALVULA PROY	83627.799	95026.543	0.8827	0
INSERT	VALVULA PROY	83664.807	95324.508	2.0645	0
INSERT	VALVULA PROY	83523.604	95596.65	0.4747	0
INSERT	VALVULA PROY	83560.666	95526.643	0.4747	0
INSERT	VALVULA PROY	83122.871	95528.53	6.281	0
INSERT	VALVULA PROY	82894.125	95568.26	0.3982	ACUEDPROYECTO
INSERT	VALVULA PROY	82911.882	95526.187	0.2548	ACUEDPROYECTO
INSERT	A Tee	83618.437	95542.122	0.0009	0
INSERT	A Tee	83625.739	95587.855	0.0211	0
INSERT	A Tee	83549.543	95212.715	3.9996	0
INSERT	A Tee	82888.648	95614.065	1.5102	0
INSERT	A Tee	82673.089	95723.883	4.2162	0
INSERT	A Tee	82834.571	95618.577	5.524	0
INSERT	A Buje	82898.397	95421.507	3.0229	0
INSERT	A Codo22.5	82849.798	95659.839	3.6527	0
INSERT	A Codo22.5	82830.259	95633.764	1.2483	0
INSERT	A Codo22.5	82834.508	95646.479	4.3899	0
INSERT	A Tapon	83276.036	95950.683	4.437	0
INSERT	A Tee	83274.775	95945.843	6.0287	0
