START
9
(READY 5.5.8)
(BLOCKS 8)
PROBE_BEGIN
(BLOCK_POLY 46F9 HANDLE 46FE LAYER URB-ANDEN ROLE  AREA 367.586 VERTS 537)
(BLOCK_POLY 46F9 HANDLE 4774 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4775 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4777 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4778 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4779 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 477A LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 477B LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 477C LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 477D LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 477E LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4780 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4781 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4782 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4783 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4784 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4785 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4786 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4787 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4789 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 478A LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 478B LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 478C LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 478D LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 478E LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 478F LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4790 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4792 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4793 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4794 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4795 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4796 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4797 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4798 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 4799 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 479B LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 479C LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 479D LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 479E LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 479F LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A0 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A1 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A2 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A4 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A5 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A6 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A7 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A8 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47A9 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47AA LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47AB LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47AD LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47AE LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47AF LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B0 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B1 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B2 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B3 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B4 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B6 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B7 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B8 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47B9 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47BA LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47BB LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47BC LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47BD LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47BF LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C0 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C1 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C2 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C3 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C4 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C5 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C6 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C8 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47C9 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47CA LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47CB LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47CC LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47CD LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47CE LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47CF LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47D1 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47D2 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47D3 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47D4 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47D5 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
(BLOCK_POLY 46F9 HANDLE 47D6 LAYER URB-ANDEN-LOSETA-GUIA-40X40 ROLE FEATURE_SYMBOL AREA 0.00314761 VERTS 4)
