ORIGEN	CAPITULO	SUBCAPITULO	CODIGO	NOMBRE	UM	VALOR
Nuevo STEST 	REDES ACUEDUCTO	REDES ACUEDUCTO	9394	TUBO EN ACERO Φ 24" CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. FABRICADO DE CONFORMIDAD CON LA NORMA AWWA C 200, MANUAL M11 DE LA AWWA Y NORMA NP-032 DE LA EAAB, A PARTIR DE LÁMINA ASTM A 36 DE ESPESOR E=3MM. L=6,0M. PRESIÓN DE TRABAJO = 150 PSI. (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	2321399
Nuevo STEST 	REDES ACUEDUCTO	REDES ACUEDUCTO	9395	TUBO EN ACERO Φ 24" CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. FABRICADO DE CONFORMIDAD CON LA NORMA AWWA C 200, MANUAL M11 DE LA AWWA Y NORMA NP-032 DE LA EAAB, A PARTIR DE LÁMINA ASTM A 36 DE ESPESOR E=6MM. L=6,0M. PRESIÓN DE TRABAJO HASTA 330 PSI. (INCLUYE SUMINISTRO E INSTALACIÓN)	ML	2748202
Nuevo STEST 	REDES ACUEDUCTO	REDES ACUEDUCTO	9396	TUBO EN ACERO Φ 12" CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. FABRICADO DE CONFORMIDAD CON LA NORMA AWWA C 200, MANUAL M11 DE LA AWWA Y NORMA NP-032 DE LA EAAB, A PARTIR DE LÁMINA ASTM A 36. L=6,0M. PRESIÓN DE TRABAJO = 150 PSI. (INCLUYE SUMINISTRO E INSTALACIÓN).	ML	1237212
Nuevo STEST 	REDES ACUEDUCTO	REDES ACUEDUCTO	9397	TUBO EN ACERO Φ 12" CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. FABRICADO DE CONFORMIDAD CON LA NORMA AWWA C 200, MANUAL M11 DE LA AWWA Y NORMA NP-032 DE LA EAAB, A PARTIR DE LÁMINA ASTM A 36. L=6,0M. PRESIÓN DE TRABAJO = 250 PSI. (INCLUYE SUMINISTRO E INSTALACIÓN).	ML	1237212
Nuevo STEST 	REDES ACUEDUCTO	REDES ACUEDUCTO	9398	TUBO EN ACERO Φ 12" CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. FABRICADO DE CONFORMIDAD CON LA NORMA AWWA C 200, MANUAL M11 DE LA AWWA Y NORMA NP-032 DE LA EAAB, A PARTIR DE LÁMINA ASTM A 36. L=6,0M. PRESIÓN DE TRABAJO = 330 PSI. (INCLUYE SUMINISTRO E INSTALACIÓN).	ML	1237212
Nuevo DTC	REDES ACUEDUCTO	REDES ACUEDUCTO	9425	TUBERIA EN ACERO Φ 30" CON EXTREMOS DE JUNTA ESPIGO / CAMPANA CON EMPAQUE DE CAUCHO, CON REVESTIMIENTO INTERIOR Y RECUBRIMIENTO EXTERIOR EN MORTERO DE CEMENTO. FABRICADO DE CONFORMIDAD CON LA NORMA AWWA C 200, MANUAL M11 DE LA AWWA Y NORMA NP-032 DE LA EAAB, A PARTIR DE LÁMINA ASTM A 36. L=6,0M. PRESIÓN DE TRABAJO = 150 PSI. (INCLUYE SUMINISTRO E INSTALACIÓN).	ML	2989892
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9466	PAQUETE ELEMENTOS PARA LIMPIEZA Y DESINFECCIÓN PARA 10 TRABAJADORES EN OBRA (INCLUYE ALCOHOL GLICERINADO, TOALLAS DE PAPEL, JABON LIQUIDO, SUMINISTRO AGUA PARA EL LAVAMANOS). _(Según Apéndice Bioseguridad Covid 19_V4)	UN/MES	442668
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9467	RECOLECCION, TRANSPORTE Y DISPOSICION DE RESIDUOS LÍQUIDOS PROVENIENTES DE LAVAMANOS PORTATILES. (INCLUYE EQUIPO DE SUCCIÓN)._(Según Apéndice Bioseguridad Covid 19_V4)	M3	335988
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9468	ALQUILER DE LAVAMANOS PORTATIL DE PEDAL TIPO MANOS LIBRES._(Según Apéndice Bioseguridad Covid 19_V4)	UN/MES	69196
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9469	ALQUILER DE DISPENSADOR DE JABÓN LÍQUIDO O ALCOHOL GLICERINADO, CON PEDAL METÁLICO._(Según Apéndice Bioseguridad Covid 19_V4)	UN/MES	6051
DTP - OGA	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	ELEMENTOS DE BIOSEGURIDAD SEGÚN APÉNDICE	9470	ALQUILER DE DISPENSADOR PLÁSTICO DE TOALLAS TIPO Z_(Según Apéndice Bioseguridad Covid 19_V4)	UN/MES	3734
Nuevo STED	REDES ALCANTARILLADO / DRENAJE	REDES ALCANTARILLADO / DRENAJE	9563	RETIRO DE TUBERIA DE CONCRETO Diámetro = 1,40m  (Incluye cargue, retiro de material, transporte y disposición final de escombros en sitio autorizado).	ML	168369
Demanda	RELLENOS Y CAPAS GRANULARES	CAPAS GRANULARES	9997	NIVELACIÓN Y COMPACTACIÓN DE SUBRASANTE PARA ESPACIO PÚBLICO	M2	2880
Demanda	PAVIMENTOS	PAVIMENTOS EN CONCRETO ASFALTICO	9998	MEZCLA ASFÁLTICA EN CALIENTE MCCh25-A CON CEMENTO ASFÁLTICO MODIFICADO CON CAUCHO (SUMINISTRO, EXTENDIDO, NIVELACIÓN Y COMPACTACIÓN MECÁNICA)	M3	1570181
Nuevo DTP	ANDENES Y SARDINELES	PISOS EN ADOQUINES Y EN LOSETAS	9999	ADOQUIN DE CONCRETO TR. PESADO 20X10X8CM (SUMINISTRO E INSTALACIÓN. INCLUYE BASE 4CM MORTERO NIVELACIÓN Y ARENA DE SELLO)	M2	183361
Nuevo DTP	ANDENES Y SARDINELES	PISOS EN ADOQUINES Y EN LOSETAS	10000	PISO EN LOSETA PREFABRICADA A-50 (SUMINISTRO E INSTALACIÓN. INCLUYE BASE 4CM MORTERO DE 2000 PSI, NIVELACION Y ARENA DE SELLO), INCLUYE TRANSPORTE DE PÉTREOS	M2	153607
Nuevo DTINI	RELLENOS Y CAPAS GRANULARES	CAPAS GRANULARES	10014	ESTABILIZACION O MEJORAMIENTO DE SUBRASANTE CON RAJON = 6" A 12" (15 - 30 cm) Y SELLO CON SUBBASE GRANULAR CLASE C - Gr1 (SBGC_Gr1). INCLUYE (SUMINISTRO, EXTENDIDO Y NIVELACION MANUAL , COMPACTACION MECANICA VIBROCOMPACTADOR TIPO RANA, TRANSPORTE DEL RAJON Y SELLO HASTA 21 KM)	M3	183113
Nuevo DTINI	RELLENOS Y CAPAS GRANULARES	CAPAS GRANULARES	10015	ESTABILIZACION O MEJORAMIENTO DE SUBRASANTE CON RAJON = 6" A 12" (15 - 30 cm) Y SELLO CON SUBBASE GRANULAR CLASE C - Gr1 (SBGC_Gr1). INCLUYE (SUMINISTRO, EXTENDIDO, NIVELACION Y COMPACTACION MECANICA CON RETROEXCAVADORA, TRANSPORTE DEL RAJON Y SELLO HASTA 21 KM)	M3	182509
