ORIGEN	GRUPO	CODIGO	NOMBRE	UM	PRECIO
Demanda	TUBERÍA Y ACCESORIOS ACERO AL CARBÓN	10601	TUBERIAS ACERO CARBÓN A106 SCH-40  S/C 4"	ML	130662
Demanda	PINTURAS	10603	FLECHA LUMINOSA INTERMITENTE DE 1.10 MTS DE LONGITUD Y 40 CMS DE ANCHO CON ESTRUCTURA EN TUBO CUADRADO DE 1" DE 1.60CMS DE ALTO (ALTURA TOTAL 2 MTS) EN CALIBRE 20. ESTRUCTURA EN ANGULO DE 1 1/2 X 1/8	UN	1205910
Demanda	TUBERÍA Y ACCESORIOS ACERO AL CARBÓN	10605	TUBERIAS ACERO CARBÓN A106 STD 24" 150 PSI	ML	1626849
Demanda	TUBERÍA Y ACCESORIOS ACERO AL CARBÓN	10609	BRIDA FLANGLES SLIP-ON ACERO AL CARBON D= 12" CLASE 150 LB. ANSI B16.5	UN	881685
Demanda	TUBERÍA Y ACCESORIOS ACERO AL CARBÓN	10613	BRIDA FLANGLES SLIP-ON ACERO AL CARBON D= 4" CLASE 150 LB. ANSI B16.5 	UN	185336
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10614	SEÑAL VERTICAL SP/SR PARA CICLORUTA DE 0.45 m x 0.45 m, INCLUYE POSTE	UN	327356
Demanda	ARBOLES-GRAMAS-VEGETACIÓN Y PLANTACIÓN PAISAJÍSTIC	10617	PALMA DE CERA H=3.5 m. (Incluye suministro al sitio de obra, tutor H=3.00m con manguera y alambre. No incluye caja y abono).	UN	442126
Demanda	ACTIVIDADES A TODO COSTO	10618	PERFORACIÓN HORIZONTAL PARA ACUED. D=16", INCLUYE INSTAL. DE CAMISA ACERO D=24", MOVILIZACIÓN Y DESMOVILIZACIÓN EQUIPOS, EQUIPO Y COMPRESORES PARA HINCADO, OBRA MECÁNICA Y LIMPIEZA DE CAMISAS	ML	6030920
Demanda	ACTIVIDADES A TODO COSTO	10619	PERFORACIÓN HORIZONTAL PARA ACUED. D=24", INCLUYE INSTAL. DE CAMISA ACERO D=36", MOVILIZACIÓN Y DESMOVILIZACIÓN EQUIPOS, EQUIPO Y COMPRESORES PARA HINCADO, OBRA MECÁNICA Y LIMPIEZA DE CAMISAS	ML	10057880
Demanda	ACCESORIOS HD PARA REDES DE ACUEDUCTO	10621	REDUCCION HD E.B. D=12" x 6"	UN	2099160
Demanda	MALLAS Y ACEROS PARA REFUERZO	10624	ACERO LISO  D= 2 1/2"	KG	7140
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10625	SEÑAL CICLORUTA SIC-02, TABLERO 0.70M X 0.18M. INCLUYE POSTE. SUMINISTRO E INSTALACIÓN	UN	447286
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10626	SEÑAL CICLORUTA SIC-02, TABLERO 0.70M X 0.30M. INCLUYE POSTE. SUMINISTRO E INSTALACIÓN	UN	560248
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10627	SEÑAL CICLORUTA SIC-02, TABLERO 0.70M X 0.40M. EN LÁMINA GALVANIZADA CAL-16. INCLUYE SOPORTE EN TUBO REDONDO 2" EN REFLECTIVO CON PINTURA ELECTROSTÁTICA	UN	465521
Demanda	SEÑALES, BARRERAS Y DEMARCACIÓN VIAL	10628	SEÑAL CICLORUTA SIC-02, TABLERO 0.80M X 0.18M. INCLUYE POSTE. SUMINISTRO E INSTALACIÓN	UN	487168
